Title,buy_box_availability,rating_numeric,review_count,monthly_demand,current_price,listed_price_clean,is_sponsored_clean,has_coupon,has_bestseller_badge
"BOYA BOYALINK 2 Wireless Lavalier Microphone for iPhone Camera Android, Mini Lapel Micophone Wireless, 48 KHz 24 Bit, 6mm Mic, 1000ft, 30h Use, Noise Cancelling, Clip on Mic USB-C/Lightning/3.5mm TRS",Add to cart,4.6,375.0,300.0,89.68,159.0,Sponsored,1,0
"LISEN USB C to Lightning Cable, 240W 4 in 1 Charging Cable 6.6FT, Chubby USB A/C to C/Lightning with Light for iPhone 16e 15 14 Pro/MacBook Air 17/iPad/Samsung/Switch 2, Multi Chargers for All Devices",Add to cart,4.3,2457.0,6000.0,9.99,15.99,Sponsored,0,0
"DJI Mic 2 (2 TX + 1 RX + Charging Case), Wireless Lavalier Microphone, Intelligent Noise Cancelling, 32-bit Float Internal Recording, 820 ft.(250m) Range, Microphone for iPhone, Android, Camera",Add to cart,4.6,3044.0,2000.0,314.0,349.0,Sponsored,0,0
"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",Add to cart,4.7,865598.0,100000.0,14.99,,Organic,0,1
Transformers TF-T01 True Wireless Earbuds Wireless Bluetooth 5.4 Ear Buds Deep Bass Sound Earbud with Smart Noise Cancelling Mic IPX5 Waterproof in Ear Earphones for Android iOS Blue Optimus Prime,Add to cart,4.2,152.0,100.0,29.99,,Sponsored,0,0
Seagate IronWolf 12TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage (ST12000VNZ008/ST12000VN0008),Add to cart,4.4,12076.0,1000.0,249.99,,Sponsored,0,0
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",Add to cart,4.7,7235.0,500.0,69.95,,Sponsored,0,0
"Amazon Basics Multipurpose Copy Printer Paper, 20 lb, 8.5 x 11 Inches, 8 Reams (4,000 Sheets), 92 Bright, White",Add to cart,4.8,198512.0,80000.0,39.97,,Organic,0,1
"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)",Add to cart,4.7,625776.0,100000.0,14.49,,Organic,0,1
"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil",Add to cart,4.8,88965.0,100000.0,16.98,,Organic,0,1
"Energizer AA Batteries Alkaline Power, 32 Count Alkaline Double A Battery Pack",Add to cart,4.8,61157.0,100000.0,16.95,19.98,Organic,0,0
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",Add to cart,4.8,54244.0,100000.0,9.89,14.33,Organic,0,0
"Energizer Alkaline Power AAA Batteries, 32 Count, Long-Lasting Triple A Batteries, Suitable for Everyday Electronics and Emergency Gear",Add to cart,4.8,43002.0,70000.0,15.15,17.99,Organic,0,0
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",Add to cart,4.8,125404.0,80000.0,18.79,21.89,Organic,0,0
Texas Instruments TI-30XS MultiView Scientific Calculator,Add to cart,4.8,36122.0,70000.0,16.99,20.0,Organic,0,0
"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",Add to cart,4.7,123411.0,10000.0,11.06,,Organic,0,1
